sniffing_name, start_time, last_step_time, actual_time, duration_bt_start, duration_bt_step, nb_iters
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.154241,2025-04-27 14:00:15.154241,0:00:02.263246,0:00:00.005977, 49400
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.157262,2025-04-27 14:00:15.157262,0:00:02.266267,0:00:00.003021, 49450
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.159985,2025-04-27 14:00:15.159985,0:00:02.268990,0:00:00.002723, 49500
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.163014,2025-04-27 14:00:15.163014,0:00:02.272019,0:00:00.003029, 49550
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.165730,2025-04-27 14:00:15.165730,0:00:02.274735,0:00:00.002716, 49600
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.169358,2025-04-27 14:00:15.169358,0:00:02.278363,0:00:00.003628, 49650
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.172389,2025-04-27 14:00:15.172389,0:00:02.281394,0:00:00.003031, 49700
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.175392,2025-04-27 14:00:15.175392,0:00:02.284397,0:00:00.003003, 49750
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.178452,2025-04-27 14:00:15.178452,0:00:02.287457,0:00:00.003060, 49800
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.183579,2025-04-27 14:00:15.183579,0:00:02.292584,0:00:00.005127, 49850
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.187720,2025-04-27 14:00:15.187720,0:00:02.296725,0:00:00.004141, 49900
Sniffeur,2025-04-27 14:00:12.890995,2025-04-27 14:00:15.190017,2025-04-27 14:00:15.190017,0:00:02.299022,0:00:00.002297, 49950
Sniffeur,2025-04-27 14:00:28.197244,2025-04-27 14:00:28.331750,2025-04-27 14:00:28.331750,0:00:00.134506,0:00:00.134506, 10000
Sniffeur,2025-04-27 14:00:28.197244,2025-04-27 14:00:28.465255,2025-04-27 14:00:28.465255,0:00:00.268011,0:00:00.133505, 20000
Sniffeur,2025-04-27 14:00:28.197244,2025-04-27 14:00:28.606919,2025-04-27 14:00:28.606919,0:00:00.409675,0:00:00.141664, 30000
Sniffeur,2025-04-27 14:00:28.197244,2025-04-27 14:00:28.747168,2025-04-27 14:00:28.747168,0:00:00.549924,0:00:00.140249, 40000
Sniffeur,2025-04-27 16:30:55.234894,2025-04-27 16:30:55.354476,2025-04-27 16:30:55.354476,0:00:00.119582,0:00:00.119582, 10000
Sniffeur,2025-04-27 16:30:55.234894,2025-04-27 16:30:55.510398,2025-04-27 16:30:55.510398,0:00:00.275504,0:00:00.155922, 20000
Sniffeur,2025-04-27 16:30:55.234894,2025-04-27 16:30:55.639428,2025-04-27 16:30:55.639428,0:00:00.404534,0:00:00.129030, 30000
Sniffeur,2025-04-27 16:30:55.234894,2025-04-27 16:30:55.808026,2025-04-27 16:30:55.808026,0:00:00.573132,0:00:00.168598, 40000
Sniffeur,2025-04-27 16:46:32.218470,2025-04-27 16:46:32.335141,2025-04-27 16:46:32.335141,0:00:00.116671,0:00:00.116671, 10000
Sniffeur,2025-04-27 16:46:32.218470,2025-04-27 16:46:32.479592,2025-04-27 16:46:32.479592,0:00:00.261122,0:00:00.144451, 20000
Sniffeur,2025-04-27 16:46:32.218470,2025-04-27 16:46:32.592540,2025-04-27 16:46:32.592540,0:00:00.374070,0:00:00.112948, 30000
Sniffeur,2025-04-27 16:46:32.218470,2025-04-27 16:46:32.750195,2025-04-27 16:46:32.750195,0:00:00.531725,0:00:00.157655, 40000
Sniffeur,2025-04-27 16:46:48.216562,2025-04-27 16:46:48.340772,2025-04-27 16:46:48.340772,0:00:00.124210,0:00:00.124210, 10000
Sniffeur,2025-04-27 16:46:48.216562,2025-04-27 16:46:48.497208,2025-04-27 16:46:48.497208,0:00:00.280646,0:00:00.156436, 20000
Sniffeur,2025-04-27 16:46:48.216562,2025-04-27 16:46:48.622343,2025-04-27 16:46:48.622343,0:00:00.405781,0:00:00.125135, 30000
Sniffeur,2025-04-27 16:46:48.216562,2025-04-27 16:46:48.785604,2025-04-27 16:46:48.785604,0:00:00.569042,0:00:00.163261, 40000
Sniffeur,2025-04-27 16:55:06.425982,2025-04-27 16:55:06.546385,2025-04-27 16:55:06.546385,0:00:00.120403,0:00:00.120403, 10000
Sniffeur,2025-04-27 16:55:06.425982,2025-04-27 16:55:06.670319,2025-04-27 16:55:06.670319,0:00:00.244337,0:00:00.123934, 20000
Sniffeur,2025-04-27 16:55:06.425982,2025-04-27 16:55:06.789909,2025-04-27 16:55:06.789909,0:00:00.363927,0:00:00.119590, 30000
Sniffeur,2025-04-27 16:55:06.425982,2025-04-27 16:55:06.963590,2025-04-27 16:55:06.963590,0:00:00.537608,0:00:00.173681, 40000
Sniffeur,2025-04-27 16:56:04.648519,2025-04-27 16:56:04.773885,2025-04-27 16:56:04.773885,0:00:00.125366,0:00:00.125366, 10000
