Open time,Open,High,Low,Close
1503057957000,4336.52,4336.52,4336.52,4336.52
1503057958000,4336.52,4336.52,4336.52,4336.52
1503057959000,4336.52,4336.52,4336.52,4336.52
1503057960000,4336.52,4336.52,4336.52,4336.52
1503057961000,4336.52,4336.52,4336.52,4336.52
1503057962000,4336.52,4336.52,4336.52,4336.52
1503057963000,4336.52,4336.52,4336.52,4336.52
1503057964000,4336.52,4336.52,4336.52,4336.52
1503057965000,4336.52,4336.52,4336.52,4336.52
1503057966000,4336.52,4336.52,4336.52,4336.52
1503057967000,4336.52,4336.52,4336.52,4336.52
1503057968000,4336.52,4336.52,4336.52,4336.52
1503057969000,4336.52,4336.52,4336.52,4336.52
1503057970000,4336.52,4336.52,4336.52,4336.52
1503057971000,4336.52,4336.52,4336.52,4336.52
1503057972000,4336.52,4336.52,4336.52,4336.52
1503057973000,4336.52,4336.52,4336.52,4336.52
1503057974000,4336.52,4336.52,4336.52,4336.52
1503057975000,4336.52,4336.52,4336.52,4336.52
1503057976000,4336.52,4336.52,4336.52,4336.52
1503057977000,4336.52,4336.52,4336.52,4336.52
1503057978000,4336.52,4336.52,4336.52,4336.52
1503057979000,4336.52,4336.52,4336.52,4336.52
1503057980000,4336.52,4336.52,4336.52,4336.52
1503057981000,4336.52,4336.52,4336.52,4336.52
1503057982000,4336.52,4336.52,4336.52,4336.52
1503057983000,4336.52,4336.52,4336.52,4336.52
1503057984000,4336.52,4336.52,4336.52,4336.52
1503057985000,4336.52,4336.52,4336.52,4336.52
1503057986000,4336.52,4336.52,4336.52,4336.52
1503057987000,4336.52,4336.52,4336.52,4336.52
1503057988000,4336.52,4336.52,4336.52,4336.52
1503057989000,4336.52,4336.52,4336.52,4336.52
1503057990000,4336.52,4336.52,4336.52,4336.52
1503057991000,4336.52,4336.52,4336.52,4336.52
1503057992000,4336.52,4336.52,4336.52,4336.52
1503057993000,4336.52,4336.52,4336.52,4336.52
1503057994000,4336.52,4336.52,4336.52,4336.52
1503057995000,4336.52,4336.52,4336.52,4336.52
1503057996000,4336.52,4336.52,4336.52,4336.52
1503057997000,4336.52,4336.52,4336.52,4336.52
1503057998000,4336.52,4336.52,4336.52,4336.52
1503057999000,4336.52,4336.52,4336.52,4336.52
1503058000000,4336.52,4336.52,4336.52,4336.52
1503058001000,4336.52,4336.52,4336.52,4336.52
1503058002000,4336.52,4336.52,4336.52,4336.52
1503058003000,4336.52,4336.52,4336.52,4336.52
1503058004000,4336.52,4336.52,4336.52,4336.52
1503058005000,4336.52,4336.52,4336.52,4336.52
1503058006000,4336.52,4336.52,4336.52,4336.52
1503058007000,4336.52,4336.52,4336.52,4336.52
1503058008000,4336.52,4336.52,4336.52,4336.52
1503058009000,4336.52,4336.52,4336.52,4336.52
1503058010000,4336.52,4336.52,4336.52,4336.52
1503058011000,4336.52,4336.52,4336.52,4336.52
1503058012000,4336.52,4336.52,4336.52,4336.52
1503058013000,4336.52,4336.52,4336.52,4336.52
1503058014000,4336.52,4336.52,4336.52,4336.52
1503058015000,4336.52,4336.52,4336.52,4336.52
1503058016000,4336.52,4336.52,4336.52,4336.52
1503058017000,4336.52,4336.52,4336.52,4336.52
1503058018000,4336.52,4336.52,4336.52,4336.52
1503058019000,4336.52,4336.52,4336.52,4336.52
1503058020000,4336.52,4336.52,4336.52,4336.52
1503058021000,4336.52,4336.52,4336.52,4336.52
1503058022000,4336.52,4336.52,4336.52,4336.52
1503058023000,4336.52,4336.52,4336.52,4336.52
1503058024000,4336.52,4336.52,4336.52,4336.52
1503058025000,4336.52,4336.52,4336.52,4336.52
1503058026000,4336.52,4336.52,4336.52,4336.52
1503058027000,4336.52,4336.52,4336.52,4336.52
1503058028000,4336.52,4336.52,4336.52,4336.52
1503058029000,4336.52,4336.52,4336.52,4336.52
1503058030000,4336.52,4336.52,4336.52,4336.52
1503058031000,4336.52,4336.52,4336.52,4336.52
1503058032000,4336.52,4336.52,4336.52,4336.52
1503058033000,4336.52,4336.52,4336.52,4336.52
1503058034000,4336.52,4336.52,4336.52,4336.52
